Unnamed: 0,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType,Date
1,2020-11-12 10:15:00,2020-11-12 10:22:00,NIFTY12NOV2012750PE,71.55,81.45,-75,-742.5000000000005,SlHit,VolPattern,2020-11-12
2,2020-11-12 10:54:00,2020-11-12 11:17:00,NIFTY12NOV2012750PE,80.8,90.2,-75,-705.0000000000005,SlHit,VolPattern,2020-11-12
3,2020-11-12 11:39:00,2020-11-12 11:53:00,NIFTY12NOV2012750PE,72.35000000000001,85.2,-75,-963.7499999999995,SlHit,VolPattern,2020-11-12
4,2020-11-12 12:15:00,2020-11-12 12:16:00,NIFTY12NOV2012750PE,77.3,84.35,-75,-528.7499999999998,SlHit,VolPattern,2020-11-12
0,2020-11-12 10:15:00,2020-11-12 10:40:00,BANKNIFTY12NOV2028500PE,205.45,238.4,-25,-823.7500000000005,SlHit,VolPattern,2020-11-12
1,2020-11-12 10:47:00,2020-11-12 11:18:00,BANKNIFTY12NOV2028500PE,199.75,227.25,-25,-687.5,SlHit,VolPattern,2020-11-12
2,2020-11-12 11:31:00,2020-11-12 11:44:00,BANKNIFTY12NOV2028500PE,180.75,205.0,-25,-606.25,SlHit,VolPattern,2020-11-12
0,2020-11-13 09:21:00,2020-11-13 10:03:00,NIFTY19NOV2012600CE,133.14999999999998,140.45,-75,-547.5000000000009,SlHit,VolPattern,2020-11-13
0,2020-11-13 09:20:00,2020-11-13 10:22:00,BANKNIFTY19NOV2027900CE,469.95,508.85,-25,-972.5000000000008,SlHit,VolPattern,2020-11-13
0,2020-11-13 09:48:00,2020-11-13 10:22:00,NIFTY19NOV2012650PE,124.65,96.05,-75,2145.0000000000005,Target hit,VolPattern,2020-11-13
0,2020-11-13 09:46:00,2020-11-13 10:22:00,BANKNIFTY19NOV2027900PE,540.1500000000001,414.4,-25,3143.7500000000027,Target hit,VolPattern,2020-11-13
0,2020-11-17 09:26:00,2020-11-17 11:16:00,NIFTY19NOV2012800CE,102.2,77.8,-75,1830.0000000000005,Target hit,VolPattern,2020-11-17
0,2020-11-17 10:12:00,2020-11-17 12:38:00,BANKNIFTY19NOV2028900CE,393.25,257.8,-25,3386.2499999999995,Target hit,VolPattern,2020-11-17
0,2020-11-17 09:29:00,2020-11-17 10:38:00,BANKNIFTY19NOV2029000PE,418.9,488.4,-25,-1737.5,SlHit,VolPattern,2020-11-17
1,2020-11-17 10:49:00,2020-11-17 14:56:00,BANKNIFTY19NOV2028900PE,364.35,210.1,-25,3856.249999999999,Target hit,VolPattern,2020-11-17
0,2020-11-18 11:00:00,2020-11-18 11:20:00,NIFTY19NOV2012800CE,98.4,70.95,-75,2058.75,Target hit,VolPattern,2020-11-18
0,2020-11-18 10:21:00,2020-11-18 10:27:00,BANKNIFTY19NOV2029300CE,290.2,304.75,-25,-363.7500000000003,SlHit,VolPattern,2020-11-18
1,2020-11-18 10:37:00,2020-11-18 10:41:00,BANKNIFTY19NOV2029400CE,238.05,251.2,-25,-328.7500000000001,SlHit,VolPattern,2020-11-18
2,2020-11-18 10:54:00,2020-11-18 12:51:00,BANKNIFTY19NOV2029300CE,305.4,322.15,-25,-418.75,SlHit,VolPattern,2020-11-18
3,2020-11-18 13:16:00,2020-11-18 13:28:00,BANKNIFTY19NOV2029400CE,251.95,272.9,-25,-523.7499999999998,SlHit,VolPattern,2020-11-18
0,2020-11-18 09:19:00,2020-11-18 11:07:00,NIFTY19NOV2012950PE,97.8,116.0,-75,-1365.0000000000002,SlHit,VolPattern,2020-11-18
1,2020-11-18 11:45:00,2020-11-18 11:57:00,NIFTY19NOV2012900PE,80.2,88.55,-75,-626.2499999999995,SlHit,VolPattern,2020-11-18
2,2020-11-18 12:20:00,2020-11-18 12:38:00,NIFTY19NOV2012900PE,81.45,89.9,-75,-633.7500000000002,SlHit,VolPattern,2020-11-18
3,2020-11-18 12:47:00,2020-11-18 13:46:00,NIFTY19NOV2012900PE,82.95,47.35,-75,2670.0,Target hit,VolPattern,2020-11-18
0,2020-11-18 09:19:00,2020-11-18 12:51:00,BANKNIFTY19NOV2029300PE,283.25,153.35,-25,3247.5,Target hit,VolPattern,2020-11-18
0,2020-11-19 10:01:00,2020-11-19 10:07:00,BANKNIFTY19NOV2029400CE,209.75,231.15,-25,-535.0000000000001,SlHit,VolPattern,2020-11-19
1,2020-11-19 10:16:00,2020-11-19 10:52:00,BANKNIFTY19NOV2029600CE,95.2,46.5,-25,1217.5,Target hit,VolPattern,2020-11-19
0,2020-11-19 09:26:00,2020-11-19 10:07:00,NIFTY19NOV2012950PE,69.45,28.8,-75,3048.7500000000005,Target hit,VolPattern,2020-11-19
0,2020-11-19 09:34:00,2020-11-19 09:43:00,BANKNIFTY19NOV2029500PE,166.25,100.15,-25,1652.4999999999998,Target hit,VolPattern,2020-11-19
0,2020-11-20 09:28:00,2020-11-20 10:15:00,NIFTY26NOV2012800CE,114.65,127.6,-75,-971.2499999999992,SlHit,VolPattern,2020-11-20
0,2020-11-20 09:19:00,2020-11-20 10:54:00,NIFTY26NOV2012900PE,142.5,170.4,-75,-2092.5000000000005,SlHit,VolPattern,2020-11-20
0,2020-11-23 09:29:00,2020-11-23 10:00:00,NIFTY26NOV2012900CE,106.75,78.6,-75,2111.2500000000005,Target hit,VolPattern,2020-11-23
0,2020-11-23 09:43:00,2020-11-23 10:00:00,BANKNIFTY26NOV2029200CE,462.95,320.6,-25,3558.749999999999,Target hit,VolPattern,2020-11-23
0,2020-11-23 09:36:00,2020-11-23 09:40:00,BANKNIFTY26NOV2029500PE,438.4,511.75,-25,-1833.7500000000005,SlHit,VolPattern,2020-11-23
1,2020-11-23 10:45:00,2020-11-23 10:46:00,BANKNIFTY26NOV2029100PE,494.95,545.05,-25,-1252.499999999999,SlHit,VolPattern,2020-11-23
0,2020-11-24 10:32:00,2020-11-24 13:30:00,NIFTY26NOV2013050CE,69.60000000000001,73.95,-75,-326.24999999999955,SlHit,VolPattern,2020-11-24
0,2020-11-24 09:19:00,2020-11-24 15:14:00,NIFTY26NOV2013050PE,111.85,71.75,-75,3007.5000000000005,,VolPattern,2020-11-24
0,2020-11-24 09:20:00,2020-11-24 14:35:00,BANKNIFTY26NOV2029400PE,416.25,193.0,-25,5581.25,Target hit,VolPattern,2020-11-24
0,2020-11-25 09:33:00,2020-11-25 10:32:00,NIFTY26NOV2013100CE,79.05,41.65,-75,2805.0,Target hit,VolPattern,2020-11-25
0,2020-11-25 10:01:00,2020-11-25 11:11:00,BANKNIFTY26NOV2030000CE,366.25,187.1,-25,4478.75,Target hit,VolPattern,2020-11-25
0,2020-11-25 11:31:00,2020-11-25 11:43:00,NIFTY26NOV2013050PE,88.45,102.1,-75,-1023.7499999999992,SlHit,VolPattern,2020-11-25
1,2020-11-25 12:02:00,2020-11-25 12:20:00,NIFTY26NOV2013050PE,82.05,99.0,-75,-1271.2500000000002,SlHit,VolPattern,2020-11-25
2,2020-11-25 12:32:00,2020-11-25 13:53:00,NIFTY26NOV2013050PE,90.25,102.7,-75,-933.7500000000002,SlHit,VolPattern,2020-11-25
0,2020-11-25 09:21:00,2020-11-25 10:29:00,BANKNIFTY26NOV2030200PE,355.4,416.45,-25,-1526.2500000000002,SlHit,VolPattern,2020-11-25
0,2020-11-26 09:21:00,2020-11-26 10:00:00,NIFTY26NOV2012800CE,90.35,44.75,-75,3420.0000000000005,Target hit,VolPattern,2020-11-26
0,2020-11-26 09:21:00,2020-11-26 09:30:00,BANKNIFTY26NOV2029100CE,215.55,306.75,-25,-2280.0000000000005,SlHit,VolPattern,2020-11-26
1,2020-11-26 09:39:00,2020-11-26 10:00:00,BANKNIFTY26NOV2029100CE,234.3,127.7,-25,2664.9999999999995,Target hit,VolPattern,2020-11-26
